track_id,start_frame,end_frame,lifetime_frames,start_time,end_time,duration,start_x,start_z,end_x,end_z,min_z,max_z,horizontal_drift,vertical_range,assigned_detections,missed_frames
0,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,-7.990104166666666,8.532667958304058,-7.391145833333333,6.06894654198318,6.06894654198318,8.730528011464692,0.598958333333333,2.6615814694815123,10,0
1,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,-7.103645833333333,8.76924283326118,-6.816145833333333,6.397718312353637,6.397718312353637,8.804834440574298,0.28750000000000053,2.407116128220661,10,0
2,0,2,3,50.20000759391852,50.60000178850228,0.39999419458376195,-6.025520833333333,6.73276098989674,-6.2411458333333325,5.54535800117409,5.54535800117409,6.73276098989674,-0.2156249999999993,1.18740298872265,3,0
3,0,20,20,50.20000759391852,54.20000114717838,3.9999935532598556,-4.444270833333333,6.294520067969399,-4.5640624999999995,4.777267525556827,4.777267525556827,9.16561907297815,-0.11979166666666607,4.388351547421323,20,1
4,0,19,19,50.20000759391852,54.000002388963196,3.7999947950446753,-3.4859375000000004,6.599777461904729,-4.228645833333333,4.840554324830259,4.840554324830259,10.070177138214659,-0.7427083333333329,5.2296228133844,19,1
5,0,6,6,50.20000759391852,51.40000260569677,1.199995011778249,-2.6234374999999996,8.41427022191706,-1.9046874999999996,6.413013843513716,6.413013843513716,8.41427022191706,0.71875,2.001256378403345,6,1
6,0,11,12,50.20000759391852,52.40000813717302,2.2000005432544967,-1.6411458333333329,10.380629467796965,-0.7067708333333336,5.142374414753324,5.142374414753324,10.380629467796965,0.9343749999999993,5.23825505304364,12,0
7,0,12,13,50.20000759391852,52.60000033006905,2.39999273615053,0.7546874999999993,7.139131177507166,0.6828125000000007,6.094571277506373,6.094571277506373,8.319153338605446,-0.07187499999999858,2.224582061099073,13,0
8,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,2.000520833333333,8.410959111184445,2.1682291666666664,5.728284059005394,5.728284059005394,8.686436686893497,0.16770833333333357,2.9581526278881034,10,0
9,0,5,6,50.20000759391852,51.20000342703961,0.9999958331210905,3.438020833333333,6.475700183395636,4.348437499999999,5.553883943833752,5.553883943833752,6.475700183395636,0.9104166666666664,0.9218162395618839,6,0
10,0,7,6,50.20000759391852,51.6000072288763,1.39999963495778,4.1328125,8.3339031985402,3.2463541666666664,5.893317162109416,5.77237672961863,8.3339031985402,-0.8864583333333336,2.5615264689215707,6,2
11,0,10,11,50.20000759391852,52.20000812549251,2.0000005315739884,6.025520833333333,8.62825683934195,5.977604166666666,5.091919300866524,5.091919300866524,8.8592078804603,-0.047916666666667496,3.7672885795937763,11,0
12,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,7.0078125,8.099151834480486,6.935937499999998,4.831053337162489,4.831053337162489,8.213344849842375,-0.07187500000000213,3.3822915126798865,10,0
13,0,15,15,50.20000759391852,53.200007620969835,3.000000027051314,8.684895833333332,6.309168786673803,7.079687499999999,5.4157130789707,5.095222219113786,6.350568226869556,-1.6052083333333336,1.2553460077557697,15,1
14,1,15,12,50.40000790552355,53.200007620969835,2.7999997154462832,4.564062499999999,6.271906549482056,3.797395833333333,9.310994411604646,6.004588618696771,9.373844143852304,-0.7666666666666657,3.369255525155533,12,3
15,3,18,15,50.80000296636629,53.80000816649914,3.000005200132847,-3.1265625000000004,6.966205668246534,-3.1265625000000004,5.690743228488945,5.678833792185315,8.488175484822436,0.0,2.8093416926371217,15,1
16,3,11,9,50.80000296636629,52.40000813717302,1.6000051708067247,-0.9942708333333332,9.479145718908619,-0.01197916666666643,5.741815868695488,5.741815868695488,9.479145718908619,0.9822916666666668,3.737329850213131,9,0
