track_id,class,fit_status,fit_method,n_points,n_used,A,B,C,initial_velocity_km_s,acceleration_km_s2,deceleration_km_s2,apex_time_sec,apex_height_Mm,rmse_Mm,r2,apex_inside_window,n_trimmed,n_outliers_removed,reject_reason
57,A,accepted,direct,9.0,9.0,-0.13306072663106788,5.3884146157013655,7230.214980887024,5.3884146157013655,-0.26612145326213577,0.26612145326213577,20.247952766114096,7.284767163198504,0.007663828882907276,0.9999238476440977,True,0.0,0.0,
58,A,accepted,direct,15.0,15.0,-0.13178024146217762,30.660961971023486,7439.433699705813,30.660961971023486,-0.26356048292435524,0.26356048292435524,116.33368413512704,9.222885032313906,0.0381540291025967,0.9986216248794222,True,0.0,0.0,
59,C,rejected,,,,,,,,,,,,,,,,,
60,A,accepted,direct,12.0,12.0,-0.12688093977106724,24.174892281203295,6815.297005728465,24.174892281203295,-0.25376187954213447,0.25376187954213447,95.26605148425892,7.966820272072228,0.014740169391501549,0.9993850857874139,True,0.0,0.0,
61,E,rejected,,,,,,,,,,,,,,,,,
62,B,accepted,partial,7.0,7.0,-0.13783865199114206,42.014838273705166,6243.860298084487,42.014838273705166,-0.2756773039822841,0.2756773039822841,152.40586608611483,9.445514205870527,0.013119652090103875,0.99983987493671,True,0.0,0.0,
64,E,rejected,,,,,,,,,,,,,,,,,
65,D,rejected,,,,,,,,,,,,,,,,,
66,B,rejected,,,,,,,,,,,,,,,,,negative_v0
68,A,accepted,direct,16.0,16.0,-0.11906782103247447,40.66031094632612,6576.058431240404,40.66031094632612,-0.23813564206494894,0.23813564206494894,170.74433122966303,10.047317231300706,0.048453210402124074,0.9976973502702317,True,0.0,0.0,
69,C,rejected,,,,,,,,,,,,,,,,,
70,A,accepted,direct,5.0,5.0,-0.19634252956293302,21.510006161218406,7075.090476789686,21.510006161218406,-0.39268505912586604,0.39268505912586604,54.776736881970024,7.664214450700993,0.014803007061940252,0.9950675303337636,True,0.0,0.0,
71,A,accepted,direct,8.0,8.0,-0.16683128129492547,28.23420498500334,6619.0961132810835,28.23420498500334,-0.33366256258985094,0.33366256258985094,84.61903776633689,7.813671742245331,0.0124823967735778,0.9989152727643605,True,0.0,0.0,
73,B,accepted,partial,9.0,9.0,-0.1193957803603391,1.8989185238306767,9326.876824754536,1.8989185238306767,-0.2387915607206782,0.2387915607206782,7.952201150240397,9.334427115789245,0.04807933642596255,0.9973419986237271,True,0.0,0.0,
74,D,rejected,,,,,,,,,,,,,,,,,
75,A,accepted,direct,15.0,15.0,-0.12821566437858792,31.53963240371111,7474.933749368058,31.53963240371111,-0.25643132875717584,0.25643132875717584,122.99445842507464,9.414533752578249,0.04010680933240817,0.9981446448689827,True,0.0,0.0,
76,A,accepted,direct,10.0,10.0,-0.11236908230994312,21.417466161582805,6029.614277581706,21.417466161582805,-0.22473816461988624,0.22473816461988624,95.29963990676666,7.050152684038807,0.016465716513903734,0.99757111833247,True,0.0,0.0,
79,D,rejected,,,,,,,,,,,,,,,,,
80,D,rejected,,,,,,,,,,,,,,,,,
81,A,accepted,direct,7.0,7.0,-0.17675758786435902,26.12846247354687,6077.901460431748,26.12846247354687,-0.35351517572871805,0.35351517572871805,73.9104408168249,7.043484550074606,0.007664703693355998,0.9994050099763434,True,0.0,0.0,
82,A,accepted,direct,7.0,7.0,-0.1496573766215488,15.448009753499246,5983.322522849453,15.448009753499246,-0.2993147532430976,0.2993147532430976,51.61125399305885,6.381968100387002,0.015681899789863733,0.9953891383676785,True,0.0,0.0,
83,E,rejected,,,,,,,,,,,,,,,,,
84,B,rejected,,,,,,,,,,,,,,,,,negative_v0
85,A,accepted,direct,20.0,20.0,-0.1308120062435417,51.605570436656215,5060.455377560683,51.605570436656215,-0.2616240124870834,0.2616240124870834,197.2508943123255,10.150077837624755,0.09877869896747674,0.9960351538924391,True,0.0,0.0,
87,E,rejected,,,,,,,,,,,,,,,,,
88,E,rejected,,,,,,,,,,,,,,,,,
89,D,rejected,,,,,,,,,,,,,,,,,
90,D,rejected,,,,,,,,,,,,,,,,,
92,D,rejected,,,,,,,,,,,,,,,,,
93,D,rejected,,,,,,,,,,,,,,,,,
