track_id,start_frame,end_frame,lifetime_frames,start_time,end_time,duration,start_x,start_z,end_x,end_z,min_z,max_z,horizontal_drift,vertical_range,assigned_detections,missed_frames
0,0,60,61,50.20000759391852,62.20000125024505,11.99999365632653,-7.990104166666666,8.532667958304058,-7.894270833333333,8.002009266455072,5.693066409590068,10.05124729880022,0.09583333333333321,4.358180889210153,61,0
1,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,-7.103645833333333,8.76924283326118,-6.816145833333333,6.397718312353637,6.397718312353637,8.804834440574298,0.28750000000000053,2.407116128220661,10,0
2,0,2,3,50.20000759391852,50.60000178850228,0.39999419458376195,-6.025520833333333,6.73276098989674,-6.2411458333333325,5.54535800117409,5.54535800117409,6.73276098989674,-0.2156249999999993,1.18740298872265,3,0
3,0,35,35,50.20000759391852,57.200002287367816,6.999994693449295,-4.444270833333333,6.294520067969399,-4.2046874999999995,4.795285197647335,4.777267525556827,9.16561907297815,0.23958333333333393,4.388351547421323,35,1
4,0,19,19,50.20000759391852,54.000002388963196,3.7999947950446753,-3.4859375000000004,6.599777461904729,-4.228645833333333,4.840554324830259,4.840554324830259,10.070177138214659,-0.7427083333333329,5.2296228133844,19,1
5,0,47,47,50.20000759391852,59.60000730035847,9.39999970643995,-2.6234374999999996,8.41427022191706,-1.1140624999999993,4.739999567235398,4.739999567235398,8.559756296481009,1.5093750000000004,3.8197567292456105,47,1
6,0,11,12,50.20000759391852,52.40000813717302,2.2000005432544967,-1.6411458333333329,10.380629467796965,-0.7067708333333336,5.142374414753324,5.142374414753324,10.380629467796965,0.9343749999999993,5.23825505304364,12,0
7,0,38,37,50.20000759391852,57.80000422913622,7.5999966352177,0.7546874999999993,7.139131177507166,0.8026041666666668,7.4196878965106885,5.787917778103418,8.319153338605446,0.047916666666667496,2.5312355605020276,37,2
8,0,9,10,50.20000759391852,52.00000094610596,1.7999933521874425,2.000520833333333,8.410959111184445,2.1682291666666664,5.728284059005394,5.728284059005394,8.686436686893497,0.16770833333333357,2.9581526278881034,10,0
9,0,5,6,50.20000759391852,51.20000342703961,0.9999958331210905,3.438020833333333,6.475700183395636,4.348437499999999,5.553883943833752,5.553883943833752,6.475700183395636,0.9104166666666664,0.9218162395618839,6,0
10,0,53,46,50.20000759391852,60.8000026763382,10.599995082419682,4.1328125,8.3339031985402,6.193229166666665,4.610370262271205,4.610370262271205,10.499428255823712,2.060416666666665,5.889057993552507,46,8
11,0,10,11,50.20000759391852,52.20000812549251,2.0000005315739884,6.025520833333333,8.62825683934195,5.977604166666666,5.091919300866524,5.091919300866524,8.8592078804603,-0.047916666666667496,3.7672885795937763,11,0
12,0,26,27,50.20000759391852,55.40000619541943,5.1999986015009085,7.0078125,8.099151834480486,8.157812499999999,5.430207938351968,4.831053337162489,8.213344849842375,1.1499999999999986,3.3822915126798865,27,0
13,0,15,15,50.20000759391852,53.200007620969835,3.000000027051314,8.684895833333332,6.309168786673803,7.079687499999999,5.4157130789707,5.095222219113786,6.350568226869556,-1.6052083333333336,1.2553460077557697,15,1
14,1,15,12,50.40000790552355,53.200007620969835,2.7999997154462832,4.564062499999999,6.271906549482056,3.797395833333333,9.310994411604646,6.004588618696771,9.373844143852304,-0.7666666666666657,3.369255525155533,12,3
