track_id,class,n_points,lifetime_frames,turning_points,A,B,C,rmse,normalized_rmse,r2,endpoint_ratio,tau_apex,apex_inside
0,D,10,10,1,-1.0441730175754524,0.2977484618692416,8.670516197797802,0.13113921124739536,0.04927116180777358,0.9816059582603555,1.9208802622662833,0.14257620952541333,True
1,A,10,10,1,-0.8845571514216688,0.2806171144667028,8.776488511371335,0.015176041214479857,0.006304656861610569,0.9996367372970734,0.7623865521604496,0.15862011517045124,True
2,E,3,3,0,-1.522602302167805,-2.3595184744586293,6.732760989896739,1.0255800994045674e-15,8.63716959739032e-16,1.0,1.0,-0.7748308508069589,False
3,C,20,20,1,-1.0327909604859775,3.7233121451247064,5.668566110798941,0.3270364782135727,0.07452376471655864,0.9446349297007498,4.092364717929438,1.8025487671642237,True
4,C,19,19,1,-1.279799936906302,4.754189466017102,5.413035509320675,0.3881633737866861,0.07422397133369596,0.9374042928700156,2.9488324847985012,1.8573955697753601,True
5,B,6,6,0,0.486617843304558,-2.3964412021414807,8.518261771746108,0.11724803975000768,0.05858721601854494,0.9740656087862823,0.6851238608855359,2.4623441527211196,False
6,A,12,12,1,-1.3302401157106205,0.5727939675178624,10.325580928703134,0.03766996860123204,0.00719132005215062,0.9995201261268667,1.0542026181702358,0.21529720865915744,True
7,A,13,13,1,-1.1699057710405474,2.391403202476601,7.057918128268193,0.04449100562616568,0.019999714285291202,0.995463103851501,2.5076295610877333,1.0220494939304468,True
8,A,10,10,1,-1.6568332829116938,1.5218378622977755,8.378087047758106,0.021447569602834535,0.007250325558132703,0.9995086680089568,1.0483883019339868,0.45926101255743745,True
9,B,6,6,0,-1.1165880675611313,0.26567314736658426,6.450093980225862,0.04414308577253777,0.047887077573636444,0.9802836841573704,0.7764605234473051,0.11896649941229966,True
10,B,6,6,0,1.7769246080090078,-4.352380993971367,8.450054721183367,0.10191600853543556,0.03978721663506497,0.9884354280559059,0.8447294950180188,1.2246948954261156,True
11,A,11,11,1,-1.4699826777981522,1.1699937519927066,8.626474808289357,0.004159887341570777,0.00110421255332113,0.9999886363260652,0.865336907493151,0.39796174800685713,True
12,A,10,10,1,-1.2081745963540156,0.23699072671830565,8.191414931397714,0.07407463132340227,0.021900723531872866,0.9959886008204191,1.4422279600954437,0.09807801266203058,True
13,E,15,15,5,0.377996228041134,-1.449028715280989,6.570651884840454,0.17668721667764506,0.14074782218291798,0.8432949915103757,0.9980427839678903,1.9167237763061806,True
14,E,12,12,2,0.16774676217298742,1.0211714253524542,5.731497284346001,0.4593259921294639,0.13632863067227893,0.875940254399918,0.9488423103414508,-3.043788780552974,False
15,C,15,15,1,-0.9140278593007881,1.9736378158845458,7.241108193061438,0.31035799228213157,0.11047356506883267,0.8951627708632544,2.2013756283519803,1.0796376695751575,True
16,B,9,9,0,-1.1574619097025687,-0.5643797927322727,9.493156744023674,0.07275842699494309,0.019468023939817315,0.9967634488620429,4.289207882103114,-0.24380058989470355,False
17,A,10,10,1,-1.3097801662320607,2.598740819217714,6.00191236472632,0.007945361476902736,0.006121859234674713,0.9996154868447239,0.6481877019893365,0.9920522871764426,True
18,B,5,5,0,-1.3101071320390847,-1.2021123107399758,8.215409471643097,0.030055775492680268,0.01703646815210409,0.9978162512957205,1.0,-0.458783973211785,False
19,D,15,15,1,-0.879501941504628,2.97834699526216,5.031015483262736,0.18329146042965613,0.07980562940223705,0.9413251656086039,1.3643385727527293,1.693200921288977,True
20,A,5,5,1,-1.8114563087744995,0.695588043062561,6.610387554891193,0.005094813763547371,0.007698176236863856,0.9995685135088744,1.0,0.19199691422122833,True
21,D,19,19,1,-1.1756056827308135,3.963249492467699,6.701362984262685,0.10020238818970602,0.02376381324640001,0.9940080900463122,0.8703806247284764,1.685620251197438,True
22,C,19,19,1,-1.0021618197618505,3.5664194149779567,6.971975898449631,0.47778340376566963,0.0980045181810955,0.9044270955028033,3.306494189668267,1.779363045294155,True
23,C,13,13,1,-1.2607861265377636,2.5803228016079762,6.759987175415576,0.12755169338628694,0.0589610596882764,0.9686590437175654,2.280658293972574,1.02329917314913,True
24,D,17,17,1,-0.8988596487351422,3.1568373773240705,4.7100458923481145,0.18590101894265285,0.07609947965808896,0.9505990959648245,1.4495021308536653,1.7560235247884977,True
25,D,18,18,1,-0.8331668024052107,2.6519883475228694,6.290013700686248,0.08131517939614281,0.030051361209042376,0.9902701605789003,0.5584361515553682,1.5915110514887478,True
26,D,19,19,1,-0.6419653713259721,2.532020585112531,5.851423949865509,0.424623659246004,0.10855758845173273,0.8884671406246771,1.2371089133771054,1.9720850206317762,True
27,C,11,11,1,-0.7376989292595321,1.960988420572017,6.202426120794271,0.04909148164888408,0.03697760446761733,0.9853626428755679,3.029891578027072,1.3291251639339954,True
28,D,16,16,1,-0.549833533348325,1.2814479727536554,6.820799366163522,0.19125957669689903,0.09567802309804996,0.8872406581472573,0.9657632776857575,1.1653054015731026,True
29,E,22,22,3,-0.4256237848779092,1.3935071382130062,7.127380328716906,0.3690320160245919,0.12101136117449567,0.8207128692644002,0.7068151023908585,1.6370174643937436,True
30,E,8,8,2,0.05477638760353136,0.2873133110763669,5.605411541581082,0.14694189729912907,0.1568611408111498,0.6462240819041628,1.3165507452258896,-2.6226018513298617,False
31,E,4,4,1,-3.4486812600088474,2.8353701698291505,6.891964702429499,0.09619781595296542,0.07360697852919691,0.9587260178823847,1.0,0.4110803457988861,True
32,A,13,13,1,-1.4098742765348127,2.015942526371494,7.452301781262383,0.06901013472718759,0.017469848949143368,0.9969119189737476,1.2828647409201908,0.7149369840714717,True
33,A,8,8,1,-1.4748128000152063,0.9672197590636933,7.701868470169908,0.011236561586435025,0.006659359809238346,0.9996128867511629,0.8524057667712422,0.32791272189043946,True
34,B,6,6,0,-1.5357886615786578,-2.056373858495642,8.099451524386678,0.01876022149769526,0.00517304577220706,0.9997698624382377,0.8822306924931969,-0.6694846465339402,False
35,A,10,10,1,-1.4628710165110097,2.2193662312986953,6.761312693265531,0.029459526281598734,0.018558072654927697,0.9963560561570683,0.7661040859226614,0.7585652481487906,True
36,B,9,9,0,-1.0738376786894233,-0.00251156813292943,8.052002026346171,0.009783592042471157,0.0035824793613699574,0.9998877525594468,0.7265061278166818,-0.0011694356525069507,False
37,E,18,18,3,-0.4120822239367619,0.8152949213939806,7.46490243553233,0.40983889961442616,0.1421070589897436,0.8199487102144438,1.024049864290043,0.9892381593231448,True
38,C,14,14,1,-1.005719360600369,2.6672167293806917,5.706785427337002,0.16174334245216285,0.08188719853672138,0.9282398580797427,2.409136203236412,1.3260243532492424,True
39,B,8,8,0,-0.3217491006414292,2.719930410945848,5.638131975396626,0.14933410293748872,0.052438035096534656,0.9798620107411632,2.2267990180434953,4.226787900142499,False
40,E,22,22,3,-0.4893274892010223,1.367798603045198,7.605030758352146,0.5989360044675596,0.17350041264980318,0.7775860958615695,1.3816892784601262,1.397631068385868,True
41,C,11,11,1,-0.4478650788110878,0.04825976116500944,7.48964753731907,0.2020818131963713,0.11141579488086345,0.906902614170962,2.0583758338951923,0.053877566535351265,True
42,A,9,9,1,-1.3359100748736683,1.6165209215938097,7.60650020448297,0.0108335861275166,0.008195866002599653,0.9993104375269435,0.8891345669188423,0.6050260986865742,True
